coffee_type,size,variety,sugar,sugar_type,milk,extra,cost
espresso,single,80% arabica + 20% Robusta,,,,,1.8
espresso,single,80% arabica + 20% Robusta,,,,chocolate syrup,2.1
espresso,single,80% arabica + 20% Robusta,,,,strawberry syrup,2.1
espresso,single,80% arabica + 20% Robusta,,,,caramel syrup,2.1
espresso,single,80% arabica + 20% Robusta,,,,hazelnut syrup,2.1
espresso,single,80% arabica + 20% Robusta,,,,vanilla syrup,2.1
espresso,single,80% arabica + 20% Robusta,,,,cinnamon powder,1.8
espresso,single,80% arabica + 20% Robusta,,,,chocolate powder,1.8
espresso,single,80% arabica + 20% Robusta,,,fresh,,1.8
espresso,single,80% arabica + 20% Robusta,,,fresh,chocolate syrup,2.1
espresso,single,80% arabica + 20% Robusta,,,fresh,strawberry syrup,2.1
espresso,single,80% arabica + 20% Robusta,,,fresh,caramel syrup,2.1
espresso,single,80% arabica + 20% Robusta,,,fresh,hazelnut syrup,2.1
espresso,single,80% arabica + 20% Robusta,,,fresh,vanilla syrup,2.1
espresso,single,80% arabica + 20% Robusta,,,fresh,cinnamon powder,1.8
espresso,single,80% arabica + 20% Robusta,,,fresh,chocolate powder,1.8
espresso,single,80% arabica + 20% Robusta,,,evapore,,1.8
espresso,single,80% arabica + 20% Robusta,,,evapore,chocolate syrup,2.1
espresso,single,80% arabica + 20% Robusta,,,evapore,strawberry syrup,2.1
espresso,single,80% arabica + 20% Robusta,,,evapore,caramel syrup,2.1
espresso,single,80% arabica + 20% Robusta,,,evapore,hazelnut syrup,2.1
espresso,single,80% arabica + 20% Robusta,,,evapore,vanilla syrup,2.1
espresso,single,80% arabica + 20% Robusta,,,evapore,cinnamon powder,1.8
espresso,single,80% arabica + 20% Robusta,,,evapore,chocolate powder,1.8
espresso,single,80% arabica + 20% Robusta,,,almond,,2.2
espresso,single,80% arabica + 20% Robusta,,,almond,chocolate syrup,2.5
espresso,single,80% arabica + 20% Robusta,,,almond,strawberry syrup,2.5
espresso,single,80% arabica + 20% Robusta,,,almond,caramel syrup,2.5
espresso,single,80% arabica + 20% Robusta,,,almond,hazelnut syrup,2.5
espresso,single,80% arabica + 20% Robusta,,,almond,vanilla syrup,2.5
espresso,single,80% arabica + 20% Robusta,,,almond,cinnamon powder,2.2
espresso,single,80% arabica + 20% Robusta,,,almond,chocolate powder,2.2
espresso,single,80% arabica + 20% Robusta,,,coconut,,2.2
espresso,single,80% arabica + 20% Robusta,,,coconut,chocolate syrup,2.5
espresso,single,80% arabica + 20% Robusta,,,coconut,strawberry syrup,2.5
espresso,single,80% arabica + 20% Robusta,,,coconut,caramel syrup,2.5
espresso,single,80% arabica + 20% Robusta,,,coconut,hazelnut syrup,2.5
espresso,single,80% arabica + 20% Robusta,,,coconut,vanilla syrup,2.5
espresso,single,80% arabica + 20% Robusta,,,coconut,cinnamon powder,2.2
espresso,single,80% arabica + 20% Robusta,,,coconut,chocolate powder,2.2
espresso,single,80% arabica + 20% Robusta,,,oat,,2.2
espresso,single,80% arabica + 20% Robusta,,,oat,chocolate syrup,2.5
espresso,single,80% arabica + 20% Robusta,,,oat,strawberry syrup,2.5
espresso,single,80% arabica + 20% Robusta,,,oat,caramel syrup,2.5
espresso,single,80% arabica + 20% Robusta,,,oat,hazelnut syrup,2.5
espresso,single,80% arabica + 20% Robusta,,,oat,vanilla syrup,2.5
espresso,single,80% arabica + 20% Robusta,,,oat,cinnamon powder,2.2
espresso,single,80% arabica + 20% Robusta,,,oat,chocolate powder,2.2
espresso,single,80% arabica + 20% Robusta,little,white,,,1.8
espresso,single,80% arabica + 20% Robusta,little,white,,chocolate syrup,2.1
