coffee_type,size,sugar,sugar_type,milk,extra,cost
filter,single,,white,,,2.0
filter,single,,white,,chocolate syrup,2.3
filter,single,,white,,strawberry syrup,2.3
filter,single,,white,,caramel syrup,2.3
filter,single,,white,,hazelnut syrup,2.3
filter,single,,white,,vanilla syrup,2.3
filter,single,,white,,cinnamon powder,2.0
filter,single,,white,,chocolate powder,2.0
filter,single,,white,fresh,,2.0
filter,single,,white,fresh,chocolate syrup,2.3
filter,single,,white,fresh,strawberry syrup,2.3
filter,single,,white,fresh,caramel syrup,2.3
filter,single,,white,fresh,hazelnut syrup,2.3
filter,single,,white,fresh,vanilla syrup,2.3
filter,single,,white,fresh,cinnamon powder,2.0
filter,single,,white,fresh,chocolate powder,2.0
filter,single,,white,evapore,,2.0
filter,single,,white,evapore,chocolate syrup,2.3
filter,single,,white,evapore,strawberry syrup,2.3
filter,single,,white,evapore,caramel syrup,2.3
filter,single,,white,evapore,hazelnut syrup,2.3
filter,single,,white,evapore,vanilla syrup,2.3
filter,single,,white,evapore,cinnamon powder,2.0
filter,single,,white,evapore,chocolate powder,2.0
filter,single,,white,almond,,2.4
filter,single,,white,almond,chocolate syrup,2.7
filter,single,,white,almond,strawberry syrup,2.7
filter,single,,white,almond,caramel syrup,2.7
filter,single,,white,almond,hazelnut syrup,2.7
filter,single,,white,almond,vanilla syrup,2.7
filter,single,,white,almond,cinnamon powder,2.4
filter,single,,white,almond,chocolate powder,2.4
filter,single,,white,coconut,,2.4
filter,single,,white,coconut,chocolate syrup,2.7
filter,single,,white,coconut,strawberry syrup,2.7
filter,single,,white,coconut,caramel syrup,2.7
filter,single,,white,coconut,hazelnut syrup,2.7
filter,single,,white,coconut,vanilla syrup,2.7
filter,single,,white,coconut,cinnamon powder,2.4
filter,single,,white,coconut,chocolate powder,2.4
filter,single,,white,oat,,2.4
filter,single,,white,oat,chocolate syrup,2.7
filter,single,,white,oat,strawberry syrup,2.7
filter,single,,white,oat,caramel syrup,2.7
filter,single,,white,oat,hazelnut syrup,2.7
filter,single,,white,oat,vanilla syrup,2.7
filter,single,,white,oat,cinnamon powder,2.4
filter,single,,white,oat,chocolate powder,2.4
filter,single,,brown,,,2.0
filter,single,,brown,,chocolate syrup,2.3
filter,single,,brown,,strawberry syrup,2.3
filter,single,,brown,,caramel syrup,2.3
filter,single,,brown,,hazelnut syrup,2.3
filter,single,,brown,,vanilla syrup,2.3
filter,single,,brown,,cinnamon powder,2.0
filter,single,,brown,,chocolate powder,2.0
filter,single,,brown,fresh,,2.0
filter,single,,brown,fresh,chocolate syrup,2.3
filter,single,,brown,fresh,strawberry syrup,2.3
filter,single,,brown,fresh,caramel syrup,2.3
filter,single,,brown,fresh,hazelnut syrup,2.3
filter,single,,brown,fresh,vanilla syrup,2.3
filter,single,,brown,fresh,cinnamon powder,2.0
filter,single,,brown,fresh,chocolate powder,2.0
filter,single,,brown,evapore,,2.0
filter,single,,brown,evapore,chocolate syrup,2.3
filter,single,,brown,evapore,strawberry syrup,2.3
filter,single,,brown,evapore,caramel syrup,2.3
filter,single,,brown,evapore,hazelnut syrup,2.3
filter,single,,brown,evapore,vanilla syrup,2.3
filter,single,,brown,evapore,cinnamon powder,2.0
filter,single,,brown,evapore,chocolate powder,2.0
filter,single,,brown,almond,,2.4
filter,single,,brown,almond,chocolate syrup,2.7
filter,single,,brown,almond,strawberry syrup,2.7
filter,single,,brown,almond,caramel syrup,2.7
filter,single,,brown,almond,hazelnut syrup,2.7
filter,single,,brown,almond,vanilla syrup,2.7
filter,single,,brown,almond,cinnamon powder,2.4
filter,single,,brown,almond,chocolate powder,2.4
filter,single,,brown,coconut,,2.4
filter,single,,brown,coconut,chocolate syrup,2.7
filter,single,,brown,coconut,strawberry syrup,2.7
filter,single,,brown,coconut,caramel syrup,2.7
filter,single,,brown,coconut,hazelnut syrup,2.7
filter,single,,brown,coconut,vanilla syrup,2.7
filter,single,,brown,coconut,cinnamon powder,2.4
filter,single,,brown,coconut,chocolate powder,2.4
filter,single,,brown,oat,,2.4
filter,single,,brown,oat,chocolate syrup,2.7
filter,single,,brown,oat,strawberry syrup,2.7
filter,single,,brown,oat,caramel syrup,2.7
filter,single,,brown,oat,hazelnut syrup,2.7
filter,single,,brown,oat,vanilla syrup,2.7
filter,single,,brown,oat,cinnamon powder,2.4
filter,single,,brown,oat,chocolate powder,2.4
filter,single,,saccharin,,,2.0
filter,single,,saccharin,,chocolate syrup,2.3
filter,single,,saccharin,,strawberry syrup,2.3
filter,single,,saccharin,,caramel syrup,2.3
filter,single,,saccharin,,hazelnut syrup,2.3
filter,single,,saccharin,,vanilla syrup,2.3
filter,single,,saccharin,,cinnamon powder,2.0
filter,single,,saccharin,,chocolate powder,2.0
filter,single,,saccharin,fresh,,2.0
filter,single,,saccharin,fresh,chocolate syrup,2.3
filter,single,,saccharin,fresh,strawberry syrup,2.3
filter,single,,saccharin,fresh,caramel syrup,2.3
filter,single,,saccharin,fresh,hazelnut syrup,2.3
filter,single,,saccharin,fresh,vanilla syrup,2.3
filter,single,,saccharin,fresh,cinnamon powder,2.0
filter,single,,saccharin,fresh,chocolate powder,2.0
filter,single,,saccharin,evapore,,2.0
filter,single,,saccharin,evapore,chocolate syrup,2.3
filter,single,,saccharin,evapore,strawberry syrup,2.3
filter,single,,saccharin,evapore,caramel syrup,2.3
filter,single,,saccharin,evapore,hazelnut syrup,2.3
filter,single,,saccharin,evapore,vanilla syrup,2.3
filter,single,,saccharin,evapore,cinnamon powder,2.0
filter,single,,saccharin,evapore,chocolate powder,2.0
filter,single,,saccharin,almond,,2.4
filter,single,,saccharin,almond,chocolate syrup,2.7
filter,single,,saccharin,almond,strawberry syrup,2.7
filter,single,,saccharin,almond,caramel syrup,2.7
filter,single,,saccharin,almond,hazelnut syrup,2.7
filter,single,,saccharin,almond,vanilla syrup,2.7
filter,single,,saccharin,almond,cinnamon powder,2.4
filter,single,,saccharin,almond,chocolate powder,2.4
filter,single,,saccharin,coconut,,2.4
filter,single,,saccharin,coconut,chocolate syrup,2.7
