coffee_type,size,variety,sugar,sugar_type,milk,extra,cost
freddo espresso,regular,80% arabica + 20% Robusta,,,,,2.1
freddo espresso,regular,80% arabica + 20% Robusta,,,,chocolate syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,,,,strawberry syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,,,,caramel syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,,,,hazelnut syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,,,,vanilla syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,,,,cinnamon powder,2.1
freddo espresso,regular,80% arabica + 20% Robusta,,,,chocolate powder,2.1
freddo espresso,regular,80% arabica + 20% Robusta,,,fresh,,2.1
freddo espresso,regular,80% arabica + 20% Robusta,,,fresh,chocolate syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,,,fresh,strawberry syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,,,fresh,caramel syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,,,fresh,hazelnut syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,,,fresh,vanilla syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,,,fresh,cinnamon powder,2.1
freddo espresso,regular,80% arabica + 20% Robusta,,,fresh,chocolate powder,2.1
freddo espresso,regular,80% arabica + 20% Robusta,,,evapore,,2.1
freddo espresso,regular,80% arabica + 20% Robusta,,,evapore,chocolate syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,,,evapore,strawberry syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,,,evapore,caramel syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,,,evapore,hazelnut syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,,,evapore,vanilla syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,,,evapore,cinnamon powder,2.1
freddo espresso,regular,80% arabica + 20% Robusta,,,evapore,chocolate powder,2.1
freddo espresso,regular,80% arabica + 20% Robusta,,,almond,,2.5
freddo espresso,regular,80% arabica + 20% Robusta,,,almond,chocolate syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,,,almond,strawberry syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,,,almond,caramel syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,,,almond,hazelnut syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,,,almond,vanilla syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,,,almond,cinnamon powder,2.5
freddo espresso,regular,80% arabica + 20% Robusta,,,almond,chocolate powder,2.5
freddo espresso,regular,80% arabica + 20% Robusta,,,coconut,,2.5
freddo espresso,regular,80% arabica + 20% Robusta,,,coconut,chocolate syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,,,coconut,strawberry syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,,,coconut,caramel syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,,,coconut,hazelnut syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,,,coconut,vanilla syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,,,coconut,cinnamon powder,2.5
freddo espresso,regular,80% arabica + 20% Robusta,,,coconut,chocolate powder,2.5
freddo espresso,regular,80% arabica + 20% Robusta,,,oat,,2.5
freddo espresso,regular,80% arabica + 20% Robusta,,,oat,chocolate syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,,,oat,strawberry syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,,,oat,caramel syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,,,oat,hazelnut syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,,,oat,vanilla syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,,,oat,cinnamon powder,2.5
freddo espresso,regular,80% arabica + 20% Robusta,,,oat,chocolate powder,2.5
freddo espresso,regular,80% arabica + 20% Robusta,little,white,,,2.1
freddo espresso,regular,80% arabica + 20% Robusta,little,white,,chocolate syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,little,white,,strawberry syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,little,white,,caramel syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,little,white,,hazelnut syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,little,white,,vanilla syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,little,white,,cinnamon powder,2.1
freddo espresso,regular,80% arabica + 20% Robusta,little,white,,chocolate powder,2.1
freddo espresso,regular,80% arabica + 20% Robusta,little,white,fresh,,2.1
freddo espresso,regular,80% arabica + 20% Robusta,little,white,fresh,chocolate syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,little,white,fresh,strawberry syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,little,white,fresh,caramel syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,little,white,fresh,hazelnut syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,little,white,fresh,vanilla syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,little,white,fresh,cinnamon powder,2.1
freddo espresso,regular,80% arabica + 20% Robusta,little,white,fresh,chocolate powder,2.1
freddo espresso,regular,80% arabica + 20% Robusta,little,white,evapore,,2.1
freddo espresso,regular,80% arabica + 20% Robusta,little,white,evapore,chocolate syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,little,white,evapore,strawberry syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,little,white,evapore,caramel syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,little,white,evapore,hazelnut syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,little,white,evapore,vanilla syrup,2.4
freddo espresso,regular,80% arabica + 20% Robusta,little,white,evapore,cinnamon powder,2.1
freddo espresso,regular,80% arabica + 20% Robusta,little,white,evapore,chocolate powder,2.1
freddo espresso,regular,80% arabica + 20% Robusta,little,white,almond,,2.5
freddo espresso,regular,80% arabica + 20% Robusta,little,white,almond,chocolate syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,little,white,almond,strawberry syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,little,white,almond,caramel syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,little,white,almond,hazelnut syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,little,white,almond,vanilla syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,little,white,almond,cinnamon powder,2.5
freddo espresso,regular,80% arabica + 20% Robusta,little,white,almond,chocolate powder,2.5
freddo espresso,regular,80% arabica + 20% Robusta,little,white,coconut,,2.5
freddo espresso,regular,80% arabica + 20% Robusta,little,white,coconut,chocolate syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,little,white,coconut,strawberry syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,little,white,coconut,caramel syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,little,white,coconut,hazelnut syrup,2.8
freddo espresso,regular,80% arabica + 20% Robusta,little,white,coconut,vanilla syrup,2.8
