tee_type,variety,sugar,sugar_type,milk,extra,cost
tee,green,,,,,1.8
tee,green,,,,chocolate syrup,2.1
tee,green,,,,strawberry syrup,2.1
tee,green,,,,caramel syrup,2.1
tee,green,,,,hazelnut syrup,2.1
tee,green,,,,vanilla syrup,2.1
tee,green,,,,cinnamon powder,1.8
tee,green,,,,chocolate powder,1.8
tee,green,,,fresh,,1.8
tee,green,,,fresh,chocolate syrup,2.1
tee,green,,,fresh,strawberry syrup,2.1
tee,green,,,fresh,caramel syrup,2.1
tee,green,,,fresh,hazelnut syrup,2.1
tee,green,,,fresh,vanilla syrup,2.1
tee,green,,,fresh,cinnamon powder,1.8
tee,green,,,fresh,chocolate powder,1.8
tee,green,,,evapore,,1.8
tee,green,,,evapore,chocolate syrup,2.1
tee,green,,,evapore,strawberry syrup,2.1
tee,green,,,evapore,caramel syrup,2.1
tee,green,,,evapore,hazelnut syrup,2.1
tee,green,,,evapore,vanilla syrup,2.1
tee,green,,,evapore,cinnamon powder,1.8
tee,green,,,evapore,chocolate powder,1.8
tee,green,,,almond,,2.2
tee,green,,,almond,chocolate syrup,2.5
tee,green,,,almond,strawberry syrup,2.5
tee,green,,,almond,caramel syrup,2.5
tee,green,,,almond,hazelnut syrup,2.5
tee,green,,,almond,vanilla syrup,2.5
tee,green,,,almond,cinnamon powder,2.2
tee,green,,,almond,chocolate powder,2.2
tee,green,,,coconut,,2.2
tee,green,,,coconut,chocolate syrup,2.5
tee,green,,,coconut,strawberry syrup,2.5
tee,green,,,coconut,caramel syrup,2.5
tee,green,,,coconut,hazelnut syrup,2.5
tee,green,,,coconut,vanilla syrup,2.5
tee,green,,,coconut,cinnamon powder,2.2
tee,green,,,coconut,chocolate powder,2.2
tee,green,,,oat,,2.2
tee,green,,,oat,chocolate syrup,2.5
tee,green,,,oat,strawberry syrup,2.5
tee,green,,,oat,caramel syrup,2.5
tee,green,,,oat,hazelnut syrup,2.5
tee,green,,,oat,vanilla syrup,2.5
tee,green,,,oat,cinnamon powder,2.2
tee,green,,,oat,chocolate powder,2.2
tee,green,,white,,,1.8
tee,green,,white,,chocolate syrup,2.1
tee,green,,white,,strawberry syrup,2.1
tee,green,,white,,caramel syrup,2.1
tee,green,,white,,hazelnut syrup,2.1
tee,green,,white,,vanilla syrup,2.1
tee,green,,white,,cinnamon powder,1.8
tee,green,,white,,chocolate powder,1.8
tee,green,,white,fresh,,1.8
tee,green,,white,fresh,chocolate syrup,2.1
tee,green,,white,fresh,strawberry syrup,2.1
tee,green,,white,fresh,caramel syrup,2.1
tee,green,,white,fresh,hazelnut syrup,2.1
tee,green,,white,fresh,vanilla syrup,2.1
tee,green,,white,fresh,cinnamon powder,1.8
tee,green,,white,fresh,chocolate powder,1.8
tee,green,,white,evapore,,1.8
tee,green,,white,evapore,chocolate syrup,2.1
tee,green,,white,evapore,strawberry syrup,2.1
tee,green,,white,evapore,caramel syrup,2.1
tee,green,,white,evapore,hazelnut syrup,2.1
tee,green,,white,evapore,vanilla syrup,2.1
tee,green,,white,evapore,cinnamon powder,1.8
tee,green,,white,evapore,chocolate powder,1.8
tee,green,,white,almond,,2.2
